brand,brand_tweets,replies_to_customers,redirect_replies,substantive_replies,customer_followups,redirect_rate,substantive_rate,followup_rate
AmazonHelp,169840,168814,6731,162083,99890,0.039872285473953585,0.9601277145260464,0.5917163268449299
AppleSupport,106860,106646,57294,49352,35596,0.5372353393469985,0.46276466065300154,0.33377716932655704
Delta,42253,42117,6969,35148,14071,0.16546762589928057,0.8345323741007195,0.3340931215423701
Uber_Support,56270,56160,23717,32443,21948,0.42231125356125354,0.5776887464387465,0.3908119658119658
AmericanAir,36764,36531,6186,30345,17702,0.1693356327502669,0.8306643672497331,0.48457474473734635
SpotifyCares,43265,43092,13300,29792,14971,0.30864197530864196,0.691358024691358,0.3474194746124571
British_Airways,29361,29290,4285,25005,12278,0.14629566404916353,0.8537043359508365,0.4191874359849778
XboxSupport,24557,23235,5007,18228,10835,0.2154938670109748,0.7845061329890252,0.46632235851086723
comcastcares,33031,32921,23583,9338,8739,0.7163512651499043,0.2836487348500957,0.2654536617964217
airtel_care,9881,9414,1809,7605,2836,0.1921606118546845,0.8078393881453155,0.30125345230507755
TMobileHelp,34317,34215,28044,6171,11588,0.819640508548882,0.18035949145111793,0.3386818646792343
